username,followers,following,posts,verified,bio,profile_pic,username_length,username_digits,ratio,fake
user112,337,2632,223,1,1,0,7,3,0.13,0
user113,4181,2949,481,1,1,1,7,3,1.42,0
user114,5166,2025,294,1,0,1,7,3,2.55,0
user115,5961,668,69,1,1,1,7,3,8.92,0
user116,7,3164,459,0,0,0,7,3,0.0,1
user117,8028,513,128,0,1,1,7,3,15.65,0
user118,1915,4289,227,0,0,0,7,3,0.45,0
user119,3007,1378,392,0,0,1,7,3,2.18,0
user120,4009,876,187,1,0,0,7,3,4.58,0
user121,4791,4203,186,0,0,0,7,3,1.14,0
user122,8005,3256,127,1,0,1,7,3,2.46,0
user123,2073,3164,22,0,0,0,7,3,0.66,0
user124,1171,3748,64,0,0,1,7,3,0.31,0
user125,6364,1451,391,0,0,0,7,3,4.39,0
user126,6533,1594,424,0,1,0,7,3,4.1,0
user127,745,2410,370,0,0,1,7,3,0.31,0
user128,6094,3773,108,1,0,1,7,3,1.62,0
user129,6556,3030,321,0,1,0,7,3,2.16,0
user130,4375,964,52,1,1,0,7,3,4.54,0
user131,5132,505,443,1,0,0,7,3,10.16,0
user132,926,1785,207,0,1,0,7,3,0.52,0
user133,3937,1971,498,1,1,1,7,3,2.0,0
user134,4474,2138,420,1,1,0,7,3,2.09,0
user135,594,4686,286,0,1,1,7,3,0.13,0
user136,7485,351,36,1,1,0,7,3,21.32,0
user137,2407,4840,274,1,0,1,7,3,0.5,0
user138,8071,3128,261,1,1,1,7,3,2.58,0
user139,1247,1247,151,1,0,1,7,3,1.0,0
user140,7600,1929,326,1,1,0,7,3,3.94,0
user141,3307,1891,87,1,1,0,7,3,1.75,0
user142,8151,3168,462,0,1,0,7,3,2.57,0
user143,4356,851,52,0,0,1,7,3,5.12,0
user144,8025,22,223,1,0,1,7,3,364.77,0
user145,6957,1614,284,1,1,0,7,3,4.31,0
user146,1741,1137,264,1,0,1,7,3,1.53,0
user147,4953,1329,90,0,0,1,7,3,3.73,0
user148,382,2490,43,0,0,1,7,3,0.15,0
user149,1969,1389,11,0,1,0,7,3,1.42,0
user150,5800,1239,348,0,1,1,7,3,4.68,0
user151,826,1132,220,0,0,1,7,3,0.73,0
user152,4464,1424,309,1,0,1,7,3,3.13,0
user153,9778,2880,16,0,1,0,7,3,3.4,0
user154,6615,4851,164,1,0,1,7,3,1.36,0
user155,9922,953,279,0,1,1,7,3,10.41,0
user156,7121,4599,429,0,0,0,7,3,1.55,0
user157,3439,2961,127,0,0,0,7,3,1.16,0
user158,4951,2497,234,0,1,1,7,3,1.98,0
user159,7300,4934,105,1,1,1,7,3,1.48,0
user160,4096,4854,212,0,0,0,7,3,0.84,0
user161,457,3941,437,1,1,0,7,3,0.12,0
user162,1389,3059,213,0,0,1,7,3,0.45,0
user163,9871,1918,332,1,1,1,7,3,5.15,0
user164,3914,3375,493,0,0,1,7,3,1.16,0
user165,4643,330,407,1,1,1,7,3,14.07,0
user166,8778,1695,373,0,0,0,7,3,5.18,0
user167,430,4483,44,0,0,1,7,3,0.1,0
user168,7241,1300,219,1,0,1,7,3,5.57,0
user169,3659,2270,385,0,1,0,7,3,1.61,0
user170,3704,2538,264,1,0,0,7,3,1.46,0
user171,4957,1032,279,0,0,0,7,3,4.8,0
user172,7688,4517,256,1,0,0,7,3,1.7,0
user173,1736,2188,40,0,0,1,7,3,0.79,0
user174,1224,450,460,1,1,1,7,3,2.72,0
user175,2821,467,387,1,1,1,7,3,6.04,0
user176,1067,1692,29,0,0,0,7,3,0.63,0
user177,5243,2617,222,1,0,1,7,3,2.0,0
user178,8611,808,223,1,0,1,7,3,10.66,0
user179,9897,368,280,0,0,1,7,3,26.89,0
user180,7311,4829,283,1,1,0,7,3,1.51,0
user181,7380,2884,284,0,1,0,7,3,2.56,0
user182,3913,694,26,1,1,1,7,3,5.64,0
user183,1202,1620,60,1,1,0,7,3,0.74,0
user184,2530,2856,371,0,1,0,7,3,0.89,0
user185,4069,4097,438,1,0,1,7,3,0.99,0
user186,4727,4022,283,0,1,1,7,3,1.18,0
user187,8970,1611,388,0,0,1,7,3,5.57,0
user188,4658,3157,161,0,0,1,7,3,1.48,0
user189,3986,92,487,1,1,1,7,3,43.33,0
user190,9509,3851,150,1,0,1,7,3,2.47,0
user191,6836,2842,389,0,1,1,7,3,2.41,0
user192,7713,1314,468,0,0,1,7,3,5.87,0
user193,3515,837,284,0,1,1,7,3,4.2,0
user194,9569,4514,189,1,1,0,7,3,2.12,0
user195,1531,3099,108,0,0,0,7,3,0.49,0
user196,4833,494,171,0,1,0,7,3,9.78,0
user197,7946,1470,180,1,1,1,7,3,5.41,0
user198,259,3650,314,1,0,1,7,3,0.07,0
user199,1499,1434,110,0,0,1,7,3,1.05,0
user200,5186,1001,26,1,0,1,7,3,5.18,0
user201,6493,4069,490,0,0,1,7,3,1.6,0
user202,5002,779,438,1,1,1,7,3,6.42,0
user203,7527,2785,73,1,0,1,7,3,2.7,0
user204,1788,1049,199,1,0,1,7,3,1.7,0
user205,5948,560,357,0,0,1,7,3,10.62,0
user206,4196,1419,333,1,0,0,7,3,2.96,0
user207,301,2715,307,0,1,0,7,3,0.11,0
user208,5074,4749,24,1,0,0,7,3,1.07,0
user209,6238,4582,198,1,1,1,7,3,1.36,0
user210,4439,2185,71,1,1,1,7,3,2.03,0
user211,805,3543,285,1,0,1,7,3,0.23,0
user212,4108,3603,387,0,1,1,7,3,1.14,0
user213,3659,3409,179,1,1,1,7,3,1.07,0
user214,173,1837,263,0,1,0,7,3,0.09,0
user215,2010,1852,209,1,0,0,7,3,1.09,0
user216,7943,3320,271,0,1,0,7,3,2.39,0
user217,9732,2342,418,0,1,0,7,3,4.16,0
user218,5738,117,189,0,0,0,7,3,49.04,0
user219,5899,4805,137,0,0,0,7,3,1.23,0
user220,1831,4967,143,0,1,1,7,3,0.37,0
user221,9394,4895,315,1,0,1,7,3,1.92,0
user222,465,1556,497,0,0,1,7,3,0.3,0
user223,4494,4629,266,1,1,0,7,3,0.97,0
user224,1936,2501,110,0,0,1,7,3,0.77,0
user225,9812,1555,264,0,0,0,7,3,6.31,0
user226,3690,3692,80,1,1,1,7,3,1.0,0
user227,6098,297,259,1,0,1,7,3,20.53,0
user228,1333,3855,149,0,1,1,7,3,0.35,0
user229,5908,3229,476,1,1,0,7,3,1.83,0
user230,9929,2643,263,1,1,1,7,3,3.76,0
user231,4883,1340,294,0,0,1,7,3,3.64,0
user232,6521,4353,426,0,0,1,7,3,1.5,0
user233,2133,1537,210,0,0,1,7,3,1.39,0
user234,5738,2587,166,0,1,0,7,3,2.22,0
user235,8406,3053,499,1,0,0,7,3,2.75,0
user236,1857,4069,59,0,0,0,7,3,0.46,0
user237,6585,2095,274,1,1,1,7,3,3.14,0
user238,6735,2260,403,1,0,0,7,3,2.98,0
user239,5225,2180,269,0,0,1,7,3,2.4,0
user240,3005,163,233,1,1,0,7,3,18.44,0
user241,1332,98,348,1,1,0,7,3,13.59,0
user242,5380,2732,314,1,1,0,7,3,1.97,0
user243,2989,121,395,1,0,1,7,3,24.7,0
user244,9297,121,218,0,0,1,7,3,76.83,0
user245,9170,3574,227,0,1,0,7,3,2.57,0
user246,522,4306,118,1,0,0,7,3,0.12,0
user247,9279,3977,131,1,1,1,7,3,2.33,0
user248,2495,536,46,1,0,0,7,3,4.65,0
user249,1894,3860,393,1,0,1,7,3,0.49,0
user250,64,3810,91,1,0,0,7,3,0.02,1
user251,9646,3814,494,0,0,0,7,3,2.53,0
user252,9358,4929,411,0,0,1,7,3,1.9,0
user253,985,3610,330,1,0,0,7,3,0.27,0
user254,4636,902,91,1,1,1,7,3,5.14,0
user255,2056,4521,179,0,1,0,7,3,0.45,0
user256,4486,1266,84,0,0,0,7,3,3.54,0
user257,2192,2944,11,0,1,1,7,3,0.74,0
user258,4959,4227,142,0,1,1,7,3,1.17,0
user259,7064,3925,377,1,0,1,7,3,1.8,0
user260,8351,287,472,1,1,1,7,3,29.1,0
user261,6837,4942,223,0,1,0,7,3,1.38,0
user262,9760,1289,203,1,1,1,7,3,7.57,0
user263,6162,3135,72,1,0,1,7,3,1.97,0
user264,989,1988,301,0,0,1,7,3,0.5,0
user265,8218,110,299,0,1,1,7,3,74.71,0
user266,5401,3374,383,1,1,0,7,3,1.6,0
user267,4890,4646,343,1,0,1,7,3,1.05,0
user268,3964,2895,480,0,0,0,7,3,1.37,0
user269,6349,3960,356,1,0,1,7,3,1.6,0
user270,9033,1267,389,1,0,0,7,3,7.13,0
user271,1720,709,463,1,0,1,7,3,2.43,0
user272,7506,4550,307,0,0,1,7,3,1.65,0
user273,7648,2060,187,0,0,1,7,3,3.71,0
user274,455,994,370,1,1,1,7,3,0.46,0
user275,5985,905,399,1,1,0,7,3,6.61,0
user276,1796,2104,385,1,0,1,7,3,0.85,0
user277,8811,4935,7,0,1,0,7,3,1.79,0
user278,9764,3201,45,0,1,0,7,3,3.05,0
user279,3214,4707,71,0,0,1,7,3,0.68,0
user280,7478,2849,130,1,0,1,7,3,2.62,0
user281,9404,3706,108,1,1,0,7,3,2.54,0
user282,5785,3985,210,0,1,1,7,3,1.45,0
user283,5402,1876,395,1,1,0,7,3,2.88,0
user284,9475,4662,445,0,1,0,7,3,2.03,0
user285,8187,2621,274,1,0,0,7,3,3.12,0
user286,5635,2311,401,1,1,0,7,3,2.44,0
user287,8654,4546,313,0,0,0,7,3,1.9,0
user288,2931,1340,331,1,0,0,7,3,2.19,0
user289,1026,1061,396,1,1,0,7,3,0.97,0
user290,85,318,450,1,1,0,7,3,0.27,0
user291,5086,3977,364,1,0,0,7,3,1.28,0
user292,5594,1215,412,1,0,0,7,3,4.6,0
user293,369,2266,54,1,0,1,7,3,0.16,0
user294,701,3947,133,0,1,1,7,3,0.18,0
user295,628,1199,80,1,0,0,7,3,0.52,0
user296,7157,2075,456,1,0,1,7,3,3.45,0
user297,2353,3770,318,1,1,1,7,3,0.62,0
user298,1584,2222,333,0,0,0,7,3,0.71,0
user299,4445,4322,28,1,0,1,7,3,1.03,0
user300,5794,4343,423,0,1,1,7,3,1.33,0
user301,9299,4480,440,0,1,1,7,3,2.08,0
user302,2544,244,11,0,1,0,7,3,10.43,0
user303,5645,4432,49,0,1,0,7,3,1.27,0
user304,4862,2474,308,0,1,0,7,3,1.97,0
user305,8847,1499,28,0,1,1,7,3,5.9,0
user306,2105,3883,383,1,0,1,7,3,0.54,0
user307,8510,4905,246,0,1,1,7,3,1.73,0
user308,6999,3031,217,1,0,0,7,3,2.31,0
user309,4324,4277,35,1,0,1,7,3,1.01,0
user310,5962,1554,441,0,1,0,7,3,3.84,0
user311,3862,142,320,1,1,0,7,3,27.2,0
user312,7398,4305,270,1,0,0,7,3,1.72,0
user313,2811,2174,432,0,0,0,7,3,1.29,0
user314,4593,1041,70,1,1,0,7,3,4.41,0
user315,2006,3842,111,0,1,1,7,3,0.52,0
user316,3909,1554,145,1,0,0,7,3,2.52,0
user317,5357,2981,8,1,1,1,7,3,1.8,0
user318,4172,3356,159,0,1,1,7,3,1.24,0
user319,5841,1191,225,0,1,1,7,3,4.9,0
user320,2960,4173,396,0,1,1,7,3,0.71,0
user321,5295,1558,65,1,1,0,7,3,3.4,0
user322,3907,309,150,1,0,1,7,3,12.64,0
user323,5962,1135,369,1,1,0,7,3,5.25,0
user324,1717,264,465,0,1,1,7,3,6.5,0
user325,2943,3816,214,0,0,1,7,3,0.77,0
user326,7997,3498,87,0,1,0,7,3,2.29,0
user327,1004,1033,110,0,1,0,7,3,0.97,0
user328,3647,1847,316,1,0,1,7,3,1.97,0
user329,8204,2786,338,0,1,1,7,3,2.94,0
user330,5319,2711,32,1,0,0,7,3,1.96,0
user331,4692,1497,47,0,1,1,7,3,3.13,0
user332,5442,508,60,0,1,1,7,3,10.71,0
user333,991,350,456,1,1,0,7,3,2.83,0
user334,518,2170,403,1,0,1,7,3,0.24,0
user335,5821,3185,109,0,0,1,7,3,1.83,0
user336,4013,3521,115,0,1,0,7,3,1.14,0
user337,7017,1318,137,1,1,0,7,3,5.32,0
user338,3521,4309,376,1,1,0,7,3,0.82,0
user339,8971,4073,1,1,1,1,7,3,2.2,0
user340,6549,515,102,1,0,0,7,3,12.72,0
user341,2914,4920,212,0,1,0,7,3,0.59,0
user342,2023,2202,439,0,0,1,7,3,0.92,0
user343,3838,3237,429,0,0,0,7,3,1.19,0
user344,4632,3508,35,0,1,1,7,3,1.32,0
user345,2079,1817,215,0,1,1,7,3,1.14,0
user346,5432,1662,469,1,0,1,7,3,3.27,0
user347,4833,3844,359,0,0,1,7,3,1.26,0
user348,9838,4748,497,1,0,1,7,3,2.07,0
user349,4170,4325,65,0,1,1,7,3,0.96,0
user350,7936,2681,475,1,1,1,7,3,2.96,0
user351,9011,1953,45,1,1,0,7,3,4.61,0
user352,3439,3610,138,1,0,1,7,3,0.95,0
user353,8810,3247,350,0,0,1,7,3,2.71,0
user354,1393,4892,412,1,1,1,7,3,0.28,0
user355,3498,1972,238,1,0,1,7,3,1.77,0
user356,3421,3173,74,1,1,1,7,3,1.08,0
user357,4380,1879,85,1,1,1,7,3,2.33,0
user358,3345,3707,448,0,0,1,7,3,0.9,0
user359,231,1930,115,1,1,0,7,3,0.12,0
user360,4213,2036,291,0,1,1,7,3,2.07,0
user361,9906,3799,26,0,0,0,7,3,2.61,0
user362,144,1642,340,0,1,0,7,3,0.09,0
user363,1200,383,426,1,0,1,7,3,3.13,0
user364,1584,4064,165,1,0,0,7,3,0.39,0
user365,1409,2610,155,1,1,1,7,3,0.54,0
user366,6565,741,377,0,0,0,7,3,8.86,0
user367,5756,3975,285,1,0,0,7,3,1.45,0
user368,9389,4456,238,1,1,0,7,3,2.11,0
user369,6169,1331,312,1,1,1,7,3,4.63,0
user370,615,1963,365,1,0,1,7,3,0.31,0
user371,873,4542,337,0,1,1,7,3,0.19,0
user372,4735,3454,352,1,1,0,7,3,1.37,0
user373,8091,201,349,0,0,0,7,3,40.25,0
user374,8453,1205,217,1,1,1,7,3,7.01,0
user375,3374,547,196,1,1,1,7,3,6.17,0
user376,4772,3440,274,1,0,0,7,3,1.39,0
user377,5894,4174,431,1,0,0,7,3,1.41,0
user378,9996,2365,11,0,0,1,7,3,4.23,0
user379,6038,4202,492,0,0,1,7,3,1.44,0
user380,6470,1903,39,1,1,1,7,3,3.4,0
user381,7044,4451,174,1,1,1,7,3,1.58,0
user382,5807,3829,308,1,1,1,7,3,1.52,0
user383,7836,4023,321,1,0,1,7,3,1.95,0
user384,6590,1863,324,1,1,0,7,3,3.54,0
user385,9974,3569,499,1,0,0,7,3,2.79,0
user386,3067,2562,442,1,1,1,7,3,1.2,0
user387,8473,735,487,1,0,0,7,3,11.53,0
user388,1802,4609,453,0,0,0,7,3,0.39,0
user389,7437,4697,231,1,1,0,7,3,1.58,0
user390,7142,1893,37,1,1,0,7,3,3.77,0
user391,8318,3511,499,0,0,1,7,3,2.37,0
user392,7370,4511,410,0,0,1,7,3,1.63,0
user393,8483,2960,69,1,0,0,7,3,2.87,0
user394,859,1170,122,0,0,1,7,3,0.73,0
user395,9818,3217,381,0,1,1,7,3,3.05,0
user396,8006,4888,394,1,0,0,7,3,1.64,0
user397,934,1274,236,0,1,0,7,3,0.73,0
user398,4513,2880,294,1,0,0,7,3,1.57,0
user399,5335,63,371,0,0,1,7,3,84.68,0
user400,5285,207,201,0,0,1,7,3,25.53,0
user401,5270,144,486,1,1,1,7,3,36.6,0
user402,6006,2051,310,0,0,0,7,3,2.93,0
user403,3115,3690,322,0,1,0,7,3,0.84,0
user404,7052,4220,157,0,0,0,7,3,1.67,0
user405,9921,412,184,0,1,1,7,3,24.08,0
user406,1586,4983,228,0,1,1,7,3,0.32,0
user407,7315,2333,252,1,1,1,7,3,3.14,0
user408,5523,1258,438,1,1,0,7,3,4.39,0
user409,9624,1717,110,0,0,1,7,3,5.61,0
user410,5303,4405,421,0,1,1,7,3,1.2,0
user411,3353,4305,21,1,1,1,7,3,0.78,0
user412,7379,3382,119,0,1,0,7,3,2.18,0
user413,288,991,273,1,0,1,7,3,0.29,0
user414,9283,4685,51,0,0,0,7,3,1.98,0
user415,9652,3963,107,1,0,0,7,3,2.44,0
user416,4594,3108,326,0,1,1,7,3,1.48,0
user417,2190,641,368,0,1,1,7,3,3.42,0
user418,813,858,235,0,0,0,7,3,0.95,0
user419,5109,2564,422,1,1,0,7,3,1.99,0
user420,5324,821,202,1,0,1,7,3,6.48,0
user421,6213,3950,41,0,0,1,7,3,1.57,0
user422,390,2929,8,1,0,1,7,3,0.13,0
user423,4960,3159,440,0,0,0,7,3,1.57,0
user424,2464,3943,455,1,1,1,7,3,0.62,0
user425,5375,909,489,0,1,0,7,3,5.91,0
user426,9605,565,390,1,1,0,7,3,17.0,0
user427,5548,2196,228,0,0,1,7,3,2.53,0
user428,9583,2261,357,1,0,0,7,3,4.24,0
user429,3085,820,186,1,1,1,7,3,3.76,0
user430,6370,386,151,0,1,1,7,3,16.5,0
user431,8769,27,207,1,1,1,7,3,324.78,0
user432,1927,1879,370,0,0,0,7,3,1.03,0
user433,6327,2803,37,0,1,0,7,3,2.26,0
user434,2784,400,193,0,1,1,7,3,6.96,0
user435,1532,1000,40,1,0,1,7,3,1.53,0
user436,9540,1583,123,0,0,1,7,3,6.03,0
user437,5465,4282,21,1,0,0,7,3,1.28,0
user438,4367,1938,436,1,1,0,7,3,2.25,0
user439,757,1237,248,0,1,1,7,3,0.61,0
user440,4693,1891,111,1,1,1,7,3,2.48,0
user441,8182,2497,353,0,1,0,7,3,3.28,0
user442,612,3170,294,0,0,1,7,3,0.19,0
user443,2217,1812,186,0,0,0,7,3,1.22,0
user444,2931,4807,385,0,0,0,7,3,0.61,0
user445,643,3866,48,1,0,1,7,3,0.17,0
user446,8312,2795,177,1,1,0,7,3,2.97,0
user447,4044,224,275,1,0,0,7,3,18.05,0
user448,6476,4811,198,1,1,0,7,3,1.35,0
user449,3784,3508,53,0,1,0,7,3,1.08,0
user450,7748,3300,191,1,0,0,7,3,2.35,0
user451,3368,1555,421,0,0,0,7,3,2.17,0
user452,8978,2255,444,0,0,1,7,3,3.98,0
user453,1655,3189,410,0,1,1,7,3,0.52,0
user454,7166,4994,53,0,1,1,7,3,1.43,0
user455,1084,27,237,1,1,0,7,3,40.15,0
user456,2207,4117,16,1,0,1,7,3,0.54,0
user457,4353,3027,246,0,1,0,7,3,1.44,0
user458,936,4507,112,0,1,0,7,3,0.21,0
user459,2888,2581,57,0,1,1,7,3,1.12,0
user460,6730,3215,116,1,0,1,7,3,2.09,0
user461,5596,2714,94,1,0,0,7,3,2.06,0
user462,625,2037,0,0,0,0,7,3,0.31,1
user463,1702,4157,125,0,1,0,7,3,0.41,0
user464,6218,1386,307,0,1,0,7,3,4.49,0
user465,4698,3758,286,1,1,1,7,3,1.25,0
user466,8987,1124,459,1,0,0,7,3,8.0,0
user467,8669,3268,476,0,0,0,7,3,2.65,0
user468,3611,3969,83,1,1,1,7,3,0.91,0
user469,8915,4774,269,1,1,1,7,3,1.87,0
user470,156,2813,62,1,0,1,7,3,0.06,0
user471,7403,1594,2,1,0,0,7,3,4.64,0
user472,1105,923,9,1,0,1,7,3,1.2,0
user473,5091,3465,190,1,1,0,7,3,1.47,0
user474,7998,2749,207,1,1,1,7,3,2.91,0
user475,5030,1666,104,0,1,0,7,3,3.02,0
user476,3458,1996,70,0,1,0,7,3,1.73,0
user477,7781,884,283,0,0,0,7,3,8.8,0
user478,6035,3508,246,0,0,0,7,3,1.72,0
user479,5305,366,46,1,0,0,7,3,14.49,0
user480,3124,692,110,0,1,0,7,3,4.51,0
user481,107,23,311,1,0,0,7,3,4.65,0
user482,8174,3348,152,1,1,0,7,3,2.44,0
user483,8567,622,152,0,0,0,7,3,13.77,0
user484,4985,199,233,1,1,0,7,3,25.05,0
user485,6320,2258,270,0,0,1,7,3,2.8,0
user486,6218,273,25,1,1,1,7,3,22.78,0
user487,542,4671,266,1,1,1,7,3,0.12,0
user488,1407,3798,231,1,1,0,7,3,0.37,0
user489,306,3160,300,1,1,0,7,3,0.1,0
user490,6365,2925,152,0,0,1,7,3,2.18,0
user491,5697,3293,278,0,1,1,7,3,1.73,0
user492,9328,4286,308,0,1,0,7,3,2.18,0
user493,8839,1810,315,1,1,0,7,3,4.88,0
user494,8508,2293,32,1,0,0,7,3,3.71,0
user495,9506,3945,425,0,1,1,7,3,2.41,0
user496,3854,4688,449,0,0,1,7,3,0.82,0
user497,9026,4918,219,0,0,1,7,3,1.84,0
user498,4960,2066,139,0,0,1,7,3,2.4,0
user499,5258,761,126,0,0,1,7,3,6.91,0
user500,9033,1428,45,1,1,1,7,3,6.33,0
user501,5351,271,132,1,1,0,7,3,19.75,0
user502,9902,2003,133,0,0,0,7,3,4.94,0
user503,258,1000,45,0,1,0,7,3,0.26,0
user504,5455,467,34,0,0,0,7,3,11.68,0
user505,7084,3980,299,1,0,1,7,3,1.78,0
user506,7073,1547,444,0,0,1,7,3,4.57,0
user507,281,2132,493,1,0,1,7,3,0.13,0
user508,5637,900,212,0,1,1,7,3,6.26,0
user509,6911,1589,329,1,0,0,7,3,4.35,0
user510,9921,4670,470,0,0,1,7,3,2.12,0
user511,6723,4182,138,0,0,1,7,3,1.61,0
user512,8126,554,292,1,1,1,7,3,14.67,0
user513,7596,3072,309,1,1,1,7,3,2.47,0
user514,5343,4495,100,1,1,0,7,3,1.19,0
user515,3083,4199,129,0,1,1,7,3,0.73,0
user516,4380,4312,74,0,1,0,7,3,1.02,0
user517,8294,159,405,0,0,1,7,3,52.16,0
user518,8502,3438,225,0,1,1,7,3,2.47,0
user519,9964,1241,373,0,0,0,7,3,8.03,0
user520,8235,2703,274,1,0,0,7,3,3.05,0
