followers,following,posts,verified,bio,profile_pic,username_length,username_digits,ratio,fake
9596,28884,4019,1,0,1,11,0,0.33,0
17428,30964,3525,0,0,0,5,2,0.56,0
46693,2032,2369,1,0,0,9,2,22.98,0
1627,2531,1235,1,1,0,5,2,0.64,0
21373,45711,4897,1,0,1,12,1,0.47,0
8401,13484,3900,1,1,1,8,3,0.62,0
37344,16228,2016,1,1,0,17,0,2.3,0
40105,16538,4369,0,0,1,15,0,2.43,0
14607,9414,2251,1,1,1,18,3,1.55,0
360,33218,2479,0,0,1,5,0,0.01,0
43357,5165,2034,1,0,1,16,3,8.39,0
34819,48131,3249,0,0,0,7,1,0.72,0
7428,1765,791,1,1,1,6,5,4.21,0
39919,18332,271,0,0,0,7,3,2.18,0
17865,45985,4844,0,1,0,8,2,0.39,0
44578,16354,1413,1,1,0,5,4,2.73,0
31520,30285,292,1,1,1,6,0,1.04,0
17502,36880,4359,0,0,0,11,1,0.47,0
41097,28934,4041,1,1,0,14,3,1.42,0
29634,29442,3693,0,0,1,7,5,1.01,0
48120,42266,1943,0,0,1,9,0,1.14,0
17168,27795,2169,0,0,0,14,4,0.62,0
18824,31128,3299,1,0,0,20,5,0.6,0
25966,26493,671,1,1,0,14,3,0.98,0
26343,46681,2210,1,0,1,7,0,0.56,0
19387,24725,669,0,1,0,6,2,0.78,0
28671,35651,342,0,1,0,16,1,0.8,0
46597,19905,3601,1,1,1,14,4,2.34,0
36553,26355,3446,1,1,0,10,3,1.39,0
31960,9526,3647,1,1,1,8,1,3.36,0
20288,21400,797,0,0,0,9,1,0.95,0
23040,29417,4027,0,0,0,11,5,0.78,0
39295,46684,2151,0,1,0,10,0,0.84,0
7116,29963,2478,0,0,1,20,5,0.24,0
21319,29104,2811,1,1,1,14,5,0.73,0
12308,49234,3045,0,0,1,18,5,0.25,0
49321,39508,3030,0,0,1,9,2,1.25,0
44358,39909,2859,1,0,1,9,1,1.11,0
24225,35867,1393,1,0,0,20,1,0.68,0
18399,13497,4848,1,1,0,18,0,1.36,0
4312,2533,753,0,1,1,13,0,1.7,0
32419,40137,4394,1,1,0,20,1,0.81,0
29583,6398,3224,0,0,0,6,5,4.62,0
42988,7364,3787,1,0,0,7,1,5.84,0
14177,6879,3114,0,1,1,15,0,2.06,0
12787,30778,3841,1,1,1,15,2,0.42,0
34290,6958,3532,0,1,1,7,5,4.93,0
8213,34840,432,0,1,0,20,5,0.24,0
40503,42774,4240,1,0,1,9,2,0.95,0
35980,14567,3988,0,0,0,10,1,2.47,0
35721,18996,3511,1,1,0,13,3,1.88,0
49697,12993,2668,1,0,0,8,1,3.82,0
8159,12658,2996,0,0,1,20,5,0.64,0
49811,27728,3465,0,0,1,12,5,1.8,0
15288,34761,931,0,1,0,12,2,0.44,0
1022,34875,4685,1,0,1,9,2,0.03,0
26607,43089,1334,1,1,0,13,1,0.62,0
39094,25241,2982,1,1,1,7,0,1.55,0
43839,36235,2859,1,1,1,14,0,1.21,0
48349,4512,4902,1,0,0,12,2,10.72,0
13289,2095,4007,1,0,1,14,1,6.34,0
6151,44836,348,1,1,1,18,0,0.14,0
12809,31496,2470,0,1,0,16,2,0.41,0
25053,655,4762,1,0,0,13,2,38.25,0
41170,43404,2625,0,0,0,10,2,0.95,0
33657,40781,2053,0,1,0,16,2,0.83,0
13895,39470,3409,0,1,0,20,3,0.35,0
8330,20053,1357,1,1,1,12,3,0.42,0
31489,32843,318,0,1,0,15,1,0.96,0
18418,36897,1622,0,0,0,19,4,0.5,0
26676,42078,2931,0,0,1,8,5,0.63,0
11585,12115,2918,0,0,0,10,3,0.96,0
5035,9054,4114,1,1,1,19,3,0.56,0
40495,4303,4856,0,1,1,16,3,9.41,0
8787,41130,2131,1,1,0,17,4,0.21,0
38571,11708,333,1,1,0,19,5,3.29,0
2909,6658,4756,1,1,1,19,1,0.44,0
31822,26372,592,1,1,0,7,1,1.21,0
9561,17589,3295,0,0,1,13,3,0.54,0
45116,44979,293,1,0,0,6,4,1.0,0
14313,35016,2044,1,1,0,5,2,0.41,0
22461,20967,441,0,1,0,8,0,1.07,0
40849,34321,1841,0,0,1,7,1,1.19,0
19857,21186,992,0,1,0,10,5,0.94,0
19047,49570,1196,0,0,1,15,0,0.38,0
34060,5726,1292,1,0,0,10,4,5.95,0
38899,4519,3956,0,1,1,6,4,8.61,0
44073,42983,3423,0,0,1,15,5,1.03,0
18627,33601,2803,1,1,0,6,1,0.55,0
31986,9826,3221,0,1,0,10,0,3.26,0
24450,1815,396,0,1,0,6,2,13.47,0
11719,27947,222,0,1,0,14,1,0.42,0
34555,33273,1067,1,1,0,17,2,1.04,0
8946,48135,1671,1,0,0,16,2,0.19,0
14592,16471,4091,0,1,0,12,5,0.89,0
45963,14048,857,0,0,1,7,5,3.27,0
46773,15461,1881,1,0,0,10,5,3.03,0
28929,38739,157,1,0,1,15,2,0.75,0
39148,27086,261,1,1,0,6,3,1.45,0
44315,43709,2108,1,0,1,15,0,1.01,0
46927,10146,697,0,1,1,17,5,4.63,0
47350,7843,206,1,1,1,17,2,6.04,0
22861,30461,724,1,1,0,5,1,0.75,0
2504,3299,884,1,0,0,11,5,0.76,0
32489,449,4793,1,0,0,6,1,72.36,0
22203,43143,31,0,1,1,5,5,0.51,0
44025,42442,4463,1,0,0,17,5,1.04,0
45366,48875,3352,0,1,0,16,3,0.93,0
9742,35007,1284,1,1,0,9,1,0.28,0
31072,40097,3935,0,1,1,20,3,0.77,0
9994,11872,4019,0,0,0,15,2,0.84,0
25169,34951,3513,1,1,1,17,3,0.72,0
19463,5534,1525,0,1,1,6,1,3.52,0
12793,6136,2092,0,0,0,16,4,2.08,0
24877,11945,1557,0,0,0,6,2,2.08,0
25275,28186,1810,0,0,1,11,2,0.9,0
37322,37277,3641,0,1,0,17,0,1.0,0
25573,11255,3270,1,0,1,13,2,2.27,0
46321,232,3213,1,0,0,12,5,199.66,0
27202,31678,1790,1,0,1,20,2,0.86,0
13231,14834,3403,1,0,0,12,3,0.89,0
46372,8664,3378,1,1,0,9,5,5.35,0
49764,4406,1091,0,0,1,15,4,11.29,0
15114,44847,4898,1,1,0,15,5,0.34,0
12039,20324,598,1,1,1,13,2,0.59,0
47529,39417,2585,1,1,1,7,1,1.21,0
9916,36020,3752,0,1,1,17,3,0.28,0
26206,39197,4787,0,0,0,13,5,0.67,0
46436,8369,88,0,0,1,16,5,5.55,0
2081,14335,1369,1,1,1,9,1,0.15,0
22035,46928,245,1,1,1,5,3,0.47,0
33765,12119,2822,1,1,0,5,5,2.79,0
39365,46419,548,0,0,1,5,0,0.85,0
9153,9163,517,0,0,0,8,3,1.0,0
41958,6898,2897,0,0,1,20,2,6.08,0
31407,6237,1516,0,1,0,12,2,5.04,0
5563,31367,499,0,1,1,18,5,0.18,0
39892,19122,2230,1,1,0,9,5,2.09,0
25908,39879,224,1,0,0,16,4,0.65,0
25244,19369,3157,1,0,0,20,2,1.3,0
21047,24685,4949,0,1,0,10,2,0.85,0
7457,48948,4256,0,1,1,18,3,0.15,0
13277,34519,3804,1,0,1,9,2,0.38,0
25788,42325,1638,0,1,1,15,2,0.61,0
26996,43080,2988,1,0,1,20,5,0.63,0
46914,16669,2646,1,1,0,13,0,2.81,0
4418,9099,502,0,0,0,15,5,0.49,0
42183,4526,3405,0,1,1,20,0,9.32,0
16315,18696,2105,1,1,0,15,5,0.87,0
28936,34317,4661,1,0,0,14,0,0.84,0
42180,3735,2722,0,1,1,5,1,11.29,0
40417,32872,3781,1,1,1,19,4,1.23,0
30310,45815,3672,1,1,1,10,0,0.66,0
33542,8056,58,0,0,0,13,2,4.16,0
26577,27480,2972,0,1,0,8,3,0.97,0
36324,25901,491,1,0,1,10,0,1.4,0
5282,22478,3499,1,0,0,18,2,0.23,0
49620,23565,2434,0,0,0,8,1,2.11,0
886,24516,2628,1,0,0,18,5,0.04,0
16877,48558,2000,0,0,1,5,5,0.35,0
23284,23344,2852,1,0,0,12,4,1.0,0
24785,21487,1245,0,0,1,15,0,1.15,0
34326,34726,4231,0,1,1,8,1,0.99,0
36975,47282,207,1,1,1,7,0,0.78,0
41294,13469,4295,1,0,1,8,2,3.07,0
10818,30582,661,0,1,0,20,4,0.35,0
33894,32612,2675,1,0,1,20,2,1.04,0
20574,8105,797,1,0,0,17,4,2.54,0
22821,39136,4709,0,1,0,14,2,0.58,0
1087,39952,3196,1,0,0,18,5,0.03,0
17760,33460,4034,0,1,1,15,4,0.53,0
46881,15039,1118,0,0,0,14,1,3.12,0
34915,16978,4412,0,1,0,20,2,2.06,0
11497,44869,2367,1,1,1,11,2,0.26,0
30330,11165,1096,1,1,0,18,4,2.72,0
13657,1579,803,1,0,0,8,2,8.65,0
30526,33184,3012,1,1,1,12,4,0.92,0
23566,22515,4228,1,0,0,11,5,1.05,0
34386,20635,1737,1,0,1,8,3,1.67,0
49564,9097,608,0,0,0,5,1,5.45,0
43740,18336,1427,1,1,1,5,2,2.39,0
46752,30049,2737,1,1,0,7,0,1.56,0
30583,34291,2908,0,1,0,19,0,0.89,0
46661,43494,1150,1,0,0,14,5,1.07,0
2087,15094,1415,0,1,1,7,1,0.14,0
17467,40133,200,0,0,1,14,4,0.44,0
15775,48137,3997,0,0,0,18,1,0.33,0
23881,12171,450,0,1,0,6,1,1.96,0
40229,45866,3101,0,0,1,12,1,0.88,0
24244,49968,1472,0,0,0,17,1,0.49,0
47705,11418,4060,1,0,0,15,4,4.18,0
11252,18779,4126,1,1,0,18,3,0.6,0
23866,12563,1224,0,0,0,13,5,1.9,0
45149,5696,926,0,0,0,15,1,7.93,0
32671,9944,4608,0,0,0,9,4,3.29,0
37234,18359,679,1,1,1,5,2,2.03,0
19244,25400,359,0,0,1,20,0,0.76,0
47819,36236,201,1,0,0,5,3,1.32,0
49340,9583,4257,1,0,1,16,5,5.15,0
34544,4959,3073,1,1,0,5,3,6.97,0
24472,40429,1304,0,0,1,13,3,0.61,0
37987,11989,3232,1,0,0,8,5,3.17,0
2071,32261,2888,0,0,1,15,2,0.06,0
42965,18227,2200,1,1,1,9,1,2.36,0
31678,36794,761,1,1,0,8,0,0.86,0
6896,28760,4164,1,0,1,7,3,0.24,0
10905,22433,820,1,1,0,12,4,0.49,0
49862,38152,2631,1,1,0,7,2,1.31,0
20634,48248,4655,1,1,1,10,4,0.43,0
20811,45362,955,1,0,1,6,3,0.46,0
36288,1934,789,1,1,1,8,0,18.76,0
49313,20224,4865,1,0,0,11,2,2.44,0
19772,38827,3116,1,0,0,10,1,0.51,0
14321,12294,679,1,1,1,5,4,1.16,0
4890,126,60,1,1,1,18,4,38.81,0
30355,25481,3699,1,0,0,11,2,1.19,0
21712,4675,3343,1,0,1,15,2,4.64,0
609,49645,559,0,0,0,20,4,0.01,0
1569,4754,2625,0,0,1,17,0,0.33,0
35288,13882,608,1,0,0,13,4,2.54,0
4411,5607,1319,1,0,0,18,1,0.79,0
23246,46262,2014,1,1,0,18,1,0.5,0
7787,31986,3430,0,1,0,17,2,0.24,0
44826,22150,3989,0,1,0,15,5,2.02,0
46674,46542,919,1,0,1,8,2,1.0,0
41600,41685,2963,0,0,1,19,1,1.0,0
20996,44454,357,1,0,0,12,0,0.47,0
12270,4326,2282,0,1,0,8,4,2.84,0
397,38035,83,0,1,0,16,3,0.01,0
26881,29967,0,1,0,0,6,3,0.9,0
32178,5861,1668,1,1,0,14,4,5.49,0
27034,46090,3791,1,0,0,13,2,0.59,0
6538,1528,3202,0,1,0,5,4,4.28,0
47667,23075,4253,0,0,0,11,0,2.07,0
36370,19037,3979,1,1,0,13,2,1.91,0
38379,45628,1315,0,0,0,8,1,0.84,0
32879,6972,1630,1,0,1,19,4,4.72,0
15399,11211,1440,0,1,0,15,0,1.37,0
38249,47909,1839,0,1,1,12,5,0.8,0
47456,2698,4334,0,1,1,11,0,17.59,0
47229,38842,4769,1,1,1,15,0,1.22,0
37374,5703,3222,0,0,1,7,4,6.55,0
28528,16190,467,1,0,0,5,5,1.76,0
36767,26793,3841,1,1,1,17,1,1.37,0
43394,6539,819,0,1,0,14,3,6.64,0
10710,47842,3626,0,1,0,12,3,0.22,0
8803,8739,92,0,1,0,9,1,1.01,0
34873,47714,4807,0,1,1,11,1,0.73,0
22712,9828,2722,1,1,0,8,3,2.31,0
14573,33762,4612,1,0,1,20,1,0.43,0
30547,31176,3602,1,1,1,10,2,0.98,0
17845,18860,4236,0,1,0,16,2,0.95,0
36654,42045,4621,0,1,0,16,3,0.87,0
40303,42368,3004,0,1,0,19,0,0.95,0
39760,8929,841,0,1,1,17,0,4.45,0
36301,3766,223,0,1,1,7,1,9.64,0
39615,40525,624,1,1,0,14,4,0.98,0
11945,21473,4501,1,1,0,11,2,0.56,0
43884,42223,2620,1,0,0,19,5,1.04,0
22780,32219,1917,0,0,1,11,3,0.71,0
33008,18036,2567,0,0,1,15,3,1.83,0
16829,43369,155,0,0,0,11,1,0.39,0
26030,45378,65,0,1,0,16,1,0.57,0
47158,13263,4909,1,0,0,19,5,3.56,0
7967,31940,4781,0,1,0,7,4,0.25,0
18919,9512,3496,1,1,0,20,5,1.99,0
47966,47245,2426,1,1,1,16,0,1.02,0
24515,15251,3600,0,1,0,17,1,1.61,0
32583,4376,3744,0,0,0,9,4,7.45,0
38778,29696,4901,1,1,1,6,3,1.31,0
19478,29920,2139,1,1,1,6,2,0.65,0
24835,9892,1179,1,1,0,9,0,2.51,0
26861,1871,4000,0,0,0,9,3,14.36,0
33052,904,2341,1,0,0,19,0,36.56,0
15451,31950,812,0,1,0,19,3,0.48,0
45161,38864,1063,0,1,1,13,1,1.16,0
20736,37862,2741,1,0,1,9,2,0.55,0
42638,20476,238,1,0,0,20,4,2.08,0
35727,48976,1818,0,0,1,17,1,0.73,0
34786,33665,1265,1,0,0,19,1,1.03,0
32031,28468,2042,1,1,0,15,4,1.13,0
48342,38221,4530,1,0,1,19,1,1.26,0
17468,6240,110,1,0,0,12,5,2.8,0
22016,30874,3673,1,1,0,9,5,0.71,0
11682,30350,4823,0,0,0,11,5,0.38,0
32514,10353,746,0,0,0,14,5,3.14,0
27086,42289,4067,1,1,1,15,2,0.64,0
40137,22578,3357,1,1,0,6,2,1.78,0
25391,10921,842,0,1,1,7,5,2.32,0
33274,28996,2455,1,0,1,17,2,1.15,0
24289,16964,1661,0,0,1,7,1,1.43,0
48310,7497,3680,1,1,0,20,4,6.44,0
27272,48701,2978,0,1,0,10,1,0.56,0
34021,16633,1716,0,0,0,12,4,2.05,0
2433,25235,3564,1,0,0,5,4,0.1,0
17792,9595,2180,0,1,1,8,4,1.85,0
11521,40728,3688,0,0,1,14,3,0.28,0
16382,16830,3028,1,1,0,6,2,0.97,0
7455,15357,4785,1,1,0,9,0,0.49,0
12651,40075,85,0,1,0,16,2,0.32,0
23405,27896,1021,0,1,0,9,2,0.84,0
47241,22391,422,0,1,0,9,1,2.11,0
48393,14542,1635,1,1,1,17,3,3.33,0
4025,39827,4222,0,0,1,17,0,0.1,0
44504,37261,2974,1,1,1,11,5,1.19,0
33558,27039,1758,1,0,1,6,5,1.24,0
22964,20399,3788,0,0,0,11,1,1.13,0
49619,36926,3476,0,1,0,12,4,1.34,0
39128,32694,1464,1,0,0,19,4,1.2,0
46212,1238,4261,0,0,1,9,3,37.33,0
18134,26453,3802,0,0,0,5,5,0.69,0
3249,18986,1101,0,0,0,6,4,0.17,0
4473,41826,3078,1,1,0,13,5,0.11,0
11258,5826,259,1,1,1,7,2,1.93,0
4520,28058,1109,0,0,0,6,0,0.16,0
48343,11710,3928,0,0,1,9,2,4.13,0
5382,47232,3501,1,0,1,17,0,0.11,0
8884,45419,2255,0,0,1,12,2,0.2,0
12926,21486,2905,1,0,0,12,5,0.6,0
42759,10590,4359,1,1,1,5,2,4.04,0
36408,4260,1300,0,0,1,8,5,8.55,0
44566,35250,2502,1,0,1,19,5,1.26,0
4713,17444,161,1,0,0,20,1,0.27,0
41798,3690,3496,0,1,1,10,2,11.33,0
15086,38036,2925,1,0,1,11,2,0.4,0
48100,2220,4525,0,0,0,13,1,21.67,0
12797,8387,1737,0,1,1,16,0,1.53,0
40520,43870,2731,0,1,1,17,2,0.92,0
15436,6229,3250,1,0,0,6,0,2.48,0
22225,8492,4350,0,1,0,9,2,2.62,0
24873,49604,2972,0,1,1,7,4,0.5,0
33207,41257,1538,0,0,1,6,4,0.8,0
4810,48154,1924,1,1,0,5,0,0.1,0
23850,15938,3718,1,1,1,12,0,1.5,0
44725,5747,4682,1,1,0,7,5,7.78,0
26020,26986,2761,1,1,0,15,3,0.96,0
41710,3887,3660,0,0,0,10,2,10.73,0
17635,4483,2243,0,0,1,13,5,3.93,0
13881,41112,223,1,0,0,9,4,0.34,0
834,25267,1602,0,1,1,5,2,0.03,0
31356,42236,2043,1,0,1,16,4,0.74,0
8998,39372,3409,0,1,0,5,2,0.23,0
15820,11445,3711,0,0,1,16,0,1.38,0
45625,11132,1696,1,1,1,8,1,4.1,0
5650,21945,4475,1,0,1,19,4,0.26,0
36140,4324,1690,1,1,1,20,4,8.36,0
33289,32265,1044,0,0,1,8,5,1.03,0
25383,26964,4527,0,0,0,7,5,0.94,0
4103,48101,4582,1,0,1,13,0,0.09,0
11239,39959,3131,0,1,1,9,3,0.28,0
5428,40615,4409,0,0,0,9,3,0.13,0
9657,29761,3365,1,1,0,15,0,0.32,0
44274,30144,2748,1,1,1,12,3,1.47,0
10947,37898,3090,1,0,0,14,0,0.29,0
48561,32670,4109,1,1,1,16,5,1.49,0
6438,17939,2749,0,1,1,14,0,0.36,0
694,42907,573,1,0,0,17,3,0.02,0
37341,42140,3377,0,1,0,16,4,0.89,0
8065,33548,2496,0,0,0,17,0,0.24,0
4271,4987,3995,1,1,0,12,3,0.86,0
40320,16807,534,1,1,0,12,3,2.4,0
15415,40231,1533,1,1,1,5,2,0.38,0
44651,9794,4448,1,1,0,18,2,4.56,0
29862,46145,4803,0,0,1,5,2,0.65,0
29590,15644,92,1,0,1,19,0,1.89,0
14902,15859,2038,1,0,0,9,4,0.94,0
2984,42283,4822,1,1,1,18,4,0.07,0
7357,32818,4642,0,1,1,19,0,0.22,0
5349,4217,2684,0,0,0,15,5,1.27,0
26719,14438,2579,1,0,0,5,3,1.85,0
35979,48864,1190,0,0,1,15,3,0.74,0
46499,17058,3490,1,0,0,5,5,2.73,0
24917,11363,1380,0,1,0,9,0,2.19,0
3681,19990,1598,1,1,0,17,2,0.18,0
23515,29122,1605,0,0,1,15,1,0.81,0
48567,10729,544,1,0,1,9,1,4.53,0
48189,3310,4886,0,0,1,19,5,14.56,0
6804,12470,908,1,1,0,6,0,0.55,0
43084,3253,4576,1,0,1,20,2,13.24,0
4978,4555,3870,0,0,0,18,2,1.09,0
7533,13082,4799,1,1,1,9,4,0.58,0
5166,21892,1785,1,1,0,11,4,0.24,0
11434,13016,3190,1,0,1,6,2,0.88,0
2140,43383,706,0,1,0,16,1,0.05,0
22671,49062,3847,1,0,0,13,2,0.46,0
10748,34181,1659,0,0,0,8,3,0.31,0
5623,17204,3502,0,0,1,12,5,0.33,0
28788,37523,4604,0,0,0,14,3,0.77,0
28821,46968,1666,0,0,0,9,3,0.61,0
7992,19424,3222,1,1,1,19,1,0.41,0
29975,38767,4962,1,0,1,6,3,0.77,0
21719,36504,975,1,0,1,6,4,0.59,0
5077,26667,962,0,1,1,12,2,0.19,0
34777,25319,2069,1,1,1,15,4,1.37,0
17538,4905,4749,1,0,0,12,4,3.58,0
36107,45265,945,0,1,1,10,4,0.8,0
39295,15073,2516,1,0,0,10,2,2.61,0
23750,30441,2973,1,0,1,16,4,0.78,0
784,49555,915,0,0,1,6,5,0.02,0
25701,44709,3514,0,0,1,6,4,0.57,0
11831,30316,3244,0,0,0,10,5,0.39,0
22465,3612,1142,0,1,0,15,5,6.22,0
44302,18632,765,0,0,0,8,3,2.38,0
2421,13147,2933,0,0,1,18,0,0.18,0
45055,13934,4922,1,0,1,16,0,3.23,0
9487,2421,53,1,1,1,18,3,3.92,0
4531,49547,4820,1,0,1,9,2,0.09,0
47578,10785,2430,1,1,0,10,0,4.41,0
4078,18584,4681,1,0,1,19,2,0.22,0
21202,8119,2272,1,1,0,14,4,2.61,0
29305,41834,3926,0,0,1,12,5,0.7,0
23623,27317,2670,1,1,0,17,3,0.86,0
37589,9531,2385,0,0,0,5,5,3.94,0
24507,4631,4868,1,1,0,14,3,5.29,0
37039,12464,2870,1,0,0,15,4,2.97,0
14259,18685,1964,0,0,0,12,2,0.76,0
39136,40517,2248,0,1,1,8,2,0.97,0
41496,20753,276,1,0,0,14,3,2.0,0
12545,18268,4646,0,0,0,11,4,0.69,0
2652,32001,2807,1,0,1,15,1,0.08,0
38942,25476,871,0,1,0,15,4,1.53,0
7201,5307,1597,0,0,1,8,3,1.36,0
7498,21055,1801,0,0,0,5,1,0.36,0
35113,19032,1981,0,0,0,12,1,1.84,0
1193,41882,772,0,0,1,12,5,0.03,0
48922,29086,2590,0,1,1,11,0,1.68,0
23064,16807,3542,1,0,0,12,5,1.37,0
4430,11234,4620,0,1,1,16,0,0.39,0
10596,30624,3156,1,1,1,10,5,0.35,0
24908,6897,3898,1,1,0,7,4,3.61,0
43819,23248,2900,0,1,0,20,2,1.88,0
36451,45431,3002,0,0,0,13,3,0.8,0
10477,24440,1023,0,0,0,14,0,0.43,0
34669,5668,3476,0,1,1,19,2,6.12,0
41930,7840,2301,0,1,1,16,1,5.35,0
9182,33448,1891,0,1,0,9,2,0.27,0
27226,12232,1750,0,0,1,15,3,2.23,0
8995,11224,4538,1,1,1,12,5,0.8,0
10302,8122,1663,0,1,1,10,5,1.27,0
7934,8289,478,1,0,1,5,2,0.96,0
44934,29120,1720,1,0,0,9,1,1.54,0
42582,31324,1500,0,1,0,18,4,1.36,0
44166,4710,4821,1,1,0,11,4,9.38,0
21545,21542,1979,0,1,1,11,3,1.0,0
43585,2356,264,1,0,1,14,5,18.5,0
43405,38022,2582,0,0,0,5,3,1.14,0
11894,33143,2926,0,0,1,14,2,0.36,0
46527,4540,4739,1,1,0,10,5,10.25,0
22328,47733,670,1,0,1,19,3,0.47,0
14055,8291,626,1,0,0,13,1,1.7,0
47962,8809,3115,1,0,0,6,2,5.44,0
41755,19138,1178,0,1,0,7,3,2.18,0
14045,34860,4422,0,1,0,17,4,0.4,0
49112,7200,4538,1,0,0,20,5,6.82,0
43537,29330,1626,0,1,1,19,4,1.48,0
11704,30267,2820,0,1,0,15,4,0.39,0
